英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Hugo Touvron,32418,xImarzoAAAAJ,,hugotouvron,https://fr.linkedin.com/in/hugo-touvron/en
Jack Clark,32153,wjkaNgcAAAAJ,,jackclarkSF,https://www.linkedin.com/in/jack-clark-5a320317
Jun Wang,32097,TBcb-1kAAAAJ,https://scholars.cityu.edu.hk/en/persons/jun-wang(6d556e00-9da5-4b40-9602-8ee68ce4e526).html,,https://www.linkedin.com/in/jun-wang-2b478978/
Iain Matthews,31739,0ZXfitAAAAAJ,,,
Andries Engelbrecht,31637,h9pOfj0AAAAJ,https://engel.pages.cs.sun.ac.za/,,https://www.linkedin.com/in/andries-engelbrecht-57190617b/
Sankarshan Ghosh,30577,Qh--jHwAAAAJ,,,
Nicole Hartman,30379,TBjJMMEAAAAJ,,,https://www.linkedin.com/in/nicole-hartman-16564b139
Nikhil R. Pal,30355,IGIvYfAAAAAJ,,,https://www.linkedin.com/in/nikhil-pal-45931816/
David Salesin,30324,8E442bkAAAAJ,,dsalesin,https://www.linkedin.com/in/david-salesin-2236a438
Nikolaus Kriegeskorte,30194,w6M4YN4AAAAJ,,kriegeskortelab,https://www.linkedin.com/in/nikolaus-kriegeskorte-396a6825/
Katsushi Ikeuchi,30112,YHxZLlwAAAAJ,,,
Guillaume Lample,29391,H7sVDmIAAAAJ,,GuillaumeLample,https://fr.linkedin.com/in/guillaume-lample-7821095b
Danilo J. Rezende,29239,UGlyhFMAAAAJ,,DaniloJRezende,https://uk.linkedin.com/in/danilo-jimenez-rezende-2031a7a
Paul Debevec,29199,rukYqhAAAAAJ,,debfx,https://www.linkedin.com/in/paul-debevec-163212
Dani Lischinski,29192,haahCZ4AAAAJ,,danilischinski,
Wojciech Matusik,28855,wbIMbL8AAAAJ,,,https://www.linkedin.com/in/wojciech-matusik-67238126
Peyman Milanfar,28594,iGzDl8IAAAAJ,,docmilanfar,https://www.linkedin.com/in/peyman-milanfar-1a790b3
Risto Miikkulainen,28534,2SmbjHAAAAAJ,http://www.cs.utexas.edu/users/risto,,https://www.linkedin.com/in/risto-miikkulainen-ab43b9b8/
Jason Yosinski,28420,gxL1qj8AAAAJ,http://yosinski.com/,jasonyo,https://www.linkedin.com/in/jasonyosinski/
Jaakko Lehtinen,28204,Vpr6s3sAAAAJ,,jaakkolehtinen,https://fi.linkedin.com/in/jalehtinen
Aaron Hertzmann,28174,ZcWO2AEAAAAJ,,AaronHertzmann,
Dieter Schmalstieg,28159,xXu8K6IAAAAJ,,,https://www.linkedin.com/posts/universit%C3%A4t-stuttgart_visualization-german-universityofstuttgart-activity-7196121798248144896-b8-4
Szymon Rusinkiewicz,28109,RaScARwAAAAJ,,,
Jessica Hodgins,27802,vswo4rQAAAAJ,,,https://www.linkedin.com/in/jessica-hodgins-86931246
Terrence L. Fine,27711,CKPeC3IAAAAJ,,,已去世
Xiaofeng Liao,27674,VpAZWLIAAAAJ,http://www.cs.cqu.edu.cn/info/1331/4244.htm,,
Maneesh Agrawala,27573,YPzKczYAAAAJ,,magrawala,https://www.linkedin.com/in/maneesh-agrawala-1a5a20192
