name,github,area,personal_page,twitter,linkedin,image,famous_work,link,Company,Job
Glenn Jocher,https://github.com/glenn-jocher,Computer Vision,https://ultralytics.com/,https://x.com/ultralytics,https://www.linkedin.com/in/glenn-jocher/,https://pbs.twimg.com/media/F7CWHtkWwAA6v9F?format=jpg&name=4096x4096,yolov5,https://github.com/ultralytics/yolov5,Ultralytics ,CEO
Igor Babuschkin,https://github.com/ibab,LLMSys,https://babushk.in/,https://x.com/ibab,,https://avatars.githubusercontent.com/u/890531?v=4,grok,https://github.com/xai-org/grok-1,xAI,Research Engineer
Alexander Udalov,https://github.com/udalov,Programming Language,https://udalov.org/,https://x.com/udalov,https://www.linkedin.com/in/alexander-udalov-59647b13,https://avatars.githubusercontent.com/u/292714?v=4,Kotlin,https://github.com/JetBrains/kotlin,JetBrains,Software Engineer
Eric Mintun,http://github.com/ericmintun,Computer Vision,https://ericmintun.github.io/,,,https://ericmintun.github.io/images/profile_circle.png,Segment Anything,https://github.com/facebookresearch/segment-anything,Meta,Research Engineer
Xiang Li,https://github.com/xiang90,Cloud Computing,,,https://www.linkedin.com/in/xiang-li-92892429,https://media.licdn.com/dms/image/v2/D5603AQHczC94YthHAQ/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1726116076551?e=1750291200&v=beta&t=-K8cBUnXyQKE6n71DnlrNbACKntQ5p-4_QXe4UzRW4A,etcd,https://github.com/etcd-io/etcd,Google,"
Staff Software Engineer"
Jeffrey Wilcke,https://github.com/obscuren,Blockchain & Video Game,,https://x.com/jeffehh,,https://pbs.twimg.com/profile_images/1892681930761531392/QKoDNY1H_400x400.jpg,ethereum,https://github.com/ethereum,Grid Games,Founder
Andy Jordan,https://github.com/andyleejordan,System,https://andyleejordan.com/,,,https://avatars.githubusercontent.com/u/2226434?v=4,Powershell,https://github.com/PowerShell/PowerShell,Microsoft,Senior Software Engineer
Niels Lohmann,https://github.com/nlohmann,C++,https://nlohmann.me/,,https://www.linkedin.com/in/nielslohmann/,https://avatars.githubusercontent.com/u/159488?v=4,Json for C++,https://github.com/nlohmann/json,Mercedes-Benz,Engineering Lead
Wes McKinney,https://github.com/wesm,Database,https://wesmckinney.com/,https://x.com/wesmckinn,https://www.linkedin.com/in/wesmckinn,https://avatars.githubusercontent.com/u/329591?v=4,Pandas,https://github.com/pandas-dev/pandas,Posit,Principal Architect
Sebastian McKenzie,https://github.com/sebmck,Compiler ,,https://x.com/sebmck,https://www.linkedin.com/in/sebastian-mckenzie-96925b106,https://media.licdn.com/dms/image/v2/C5603AQF_IAGZeLOQmA/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1607711842373?e=2147483647&v=beta&t=OED_OWS99eEsdER_FyHehWk2Eas83GbwGCvtDu0lVJY,babel,https://github.com/babel/babel,Self-employed,Founder
Mike McQuaid,https://github.com/MikeMcQuaid,Full-stack,https://mikemcquaid.com/,https://x.com/MikeMcQuaid,https://www.linkedin.com/in/mkmcqd,https://avatars.githubusercontent.com/u/125011?v=4,Homebrew,https://github.com/Homebrew/brew,Workbrew,Co-founder
